row_id,p_shielded194k,p_effnet,p_meta,p_avg,ra,dec,p_l18,p_shielded60k,in_neuralens_l18,in_neuralens_shielded,in_huang2020,in_huang2021,in_storfer2024,in_inchausti2025,in_hsu2025,in_any
181948_3124,0.99999785,1.0,0.99975055,0.999998927116394,63.178995121379025,-26.775594998165754,0.9999836683273315,0.9997077584266663,False,False,False,False,False,False,False,False
181942_2839,0.99999666,0.9999981,0.99975055,0.9999973773956299,61.60162560850408,-26.77330606706885,0.999992847442627,0.9999244213104248,False,False,False,False,False,False,False,False
275916_4756,0.99997437,0.99999964,0.99975055,0.999987006187439,12.90078004197401,-9.390391858970544,0.999962568283081,0.9999399185180664,True,False,False,True,False,False,False,True
32276_1436,0.9999939,0.9999913,0.99975055,0.9999926090240479,23.477846645702776,-64.57029386278664,0.9999853372573853,0.9998898506164551,False,False,False,False,False,False,False,False
652243_3267,0.9999871,0.9999999,0.99975055,0.9999935030937195,281.69495826336197,76.10171104821917,0.9997231364250183,0.9955536723136902,True,False,False,True,False,False,False,True
179409_3566,0.9999949,1.0,0.99975055,0.9999974370002747,71.66663035489562,-27.24645272807937,0.9998459815979004,0.9997625946998596,False,False,False,False,False,False,False,False
311602_3238,0.99998224,0.9999982,0.99975055,0.9999902248382568,348.1504314041901,-3.440946949725391,0.9999759197235107,0.9983475208282471,True,False,False,True,False,False,False,True
205609_606,0.99997926,0.99999976,0.99975055,0.9999895095825195,78.1309573984478,-22.353936270803295,0.9995372295379639,0.99956876039505,False,False,False,False,False,False,False,False
547779_4851,0.99998295,0.99999917,0.99975055,0.9999910593032837,128.80484947191098,41.1131405428269,0.9998248219490051,0.9995556473731995,True,False,False,True,False,False,False,True
330260_7261,0.9999902,1.0,0.99975055,0.9999951124191284,333.0477416398675,-0.13910465406365521,0.9999822378158569,0.9998030066490173,False,False,False,False,False,False,False,False
330260_7262,0.9999871,1.0,0.99975055,0.9999935626983643,333.04732962955427,-0.1396829340230511,0.9999430179595947,0.9974064230918884,False,False,False,False,False,False,False,False
245107_5679,0.999979,1.0,0.99975055,0.9999895095825195,53.586217150497795,-14.903490304258494,0.9999774694442749,0.9999566078186035,False,False,False,False,False,False,False,False
202803_3144,0.99999714,0.9999844,0.99975055,0.9999907612800598,39.51380072602014,-22.76278965936945,0.9997513890266418,0.9997068047523499,False,False,False,False,False,False,False,False
232538_5123,0.9999728,1.0,0.99975055,0.9999864101409912,25.275549358506726,-17.22322780107893,0.9999866485595703,0.999951958656311,False,False,True,False,False,False,False,True
158079_1773,0.99998057,0.9999981,0.99975055,0.9999893307685852,77.82018894030956,-31.57560825324009,0.9999462366104126,0.9997816681861877,False,False,False,False,False,False,False,False
128249_3558,0.9999889,1.0,0.99975055,0.9999944567680359,22.51205938266582,-37.749414942539744,0.9999889135360718,0.9999896287918091,False,False,False,False,True,False,False,True
128249_3559,0.99998724,1.0,0.99975055,0.999993622303009,22.510017499030763,-37.74929129315511,0.9999890327453613,0.9998121857643127,False,False,False,False,True,False,False,True
510029_3084,0.9999894,0.9999989,0.99975055,0.999994158744812,230.53210357835385,32.85376843068202,0.9996845722198486,0.9995214939117432,True,False,False,True,False,False,False,True
539234_2384,0.99999905,0.9999981,0.99975055,0.9999985694885254,227.35275808984827,39.027869915423274,0.999977707862854,0.9994887113571167,True,False,False,True,False,False,False,True
509993_3231,0.9999883,0.999995,0.99975055,0.9999916553497314,219.9854405037393,32.84014798427453,0.9996309280395508,0.9993065595626831,False,False,True,False,False,False,False,True
200228_4732,0.99997973,0.99999285,0.99975055,0.9999862909317017,60.882217489421755,-23.24426913608303,0.999879002571106,0.9998661279678345,False,False,False,False,False,False,False,False
231256_1425,0.99999785,0.9999999,0.99975055,0.9999988675117493,49.922027907880626,-17.567956153979367,0.9999632835388184,0.9998557567596436,False,False,False,False,False,False,False,False
178039_461,1.0,1.0,0.99975055,1.0,46.66543370141419,-27.607479866497226,0.9999885559082031,0.999974250793457,True,False,False,True,False,False,False,True
