name,RA,DEC,grade,probability,region,tractor_type,ref,cutout_ok,our_p_resnet,our_p_effnet,our_p_meta,our_p_avg
DESI-012.2587-35.8012,12.26,-35.803,B,0.96,DECaLS,SER,,True,0.9996383,0.9999994,0.9997495,0.9998188614845276
DESI-012.7497-59.8884,12.7515,-59.8873,B,0.9,DECaLS,REX,,True,0.9939553,1.0,0.99973184,0.9969776570796967
DESI-013.2562-05.7988,13.2561991,-5.798834108,B,0.69,DECaLS,SER,,True,0.073768094,0.99559563,0.8572659,0.5346818640828133
DESI-013.2589+18.3657,13.25893281,18.36574416,B,0.99,DECaLS,EXP,,True,0.98938495,0.9952122,0.9997067,0.9922985732555389
DESI-013.4929-41.6758,13.49286024,-41.67576678,B,0.48,DECaLS,REX,,True,0.14240658,0.64950675,0.06824782,0.3959566652774811
DESI-013.7459-22.0606,13.74586927,-22.06064725,B,1.0,DECaLS,REX,,True,0.99508804,0.9947561,0.9997253,0.9949220716953278
DESI-014.0919+24.1151,14.0919048,24.11510161,B,0.64,DECaLS,DEV,,True,0.00418521,0.5953487,0.016853144,0.29976696288213134
DESI-014.1749-32.3597,14.17487557,-32.35974488,B,1.0,DECaLS,REX,,True,0.5724789,0.99796873,0.9887756,0.7852238118648529
DESI-014.2521-54.2823,14.25206473,-54.28230715,B,0.57,DECaLS,SER,v,True,0.99692875,0.99999404,0.99974126,0.9984613955020905
DESI-014.3885-20.0674,14.38854389,-20.067425,B,1.0,DECaLS,SER,,True,0.9998567,0.99990165,0.99974996,0.9998791813850403
DESI-014.5532-52.8510,14.55320099,-52.85104685,B,0.99,DECaLS,SER,,True,0.99908733,0.9999863,0.9997478,0.9995368123054504
DESI-014.9293-17.2773,14.92926438,-17.27730442,B,0.88,DECaLS,REX,,True,0.08257444,0.98663795,0.8473403,0.5346061959862709
DESI-015.4190+03.2202,15.41901171,3.220204007,B,0.99,DECaLS,SER,,True,0.9420053,0.99996316,0.9995103,0.9709842205047607
DESI-015.7911-62.2942,15.79114142,-62.29417462,B,0.71,DECaLS,DEV,,True,0.50381637,0.9996383,0.9843648,0.7517273426055908
DESI-016.1281-05.0307,16.12811361,-5.030745613,B,1.0,DECaLS,REX,,True,0.99996436,0.9999968,0.99975044,0.9999805688858032
DESI-016.2757-36.6008,16.27565187,-36.60084362,B,0.94,DECaLS,SER,,True,0.99641305,0.99641526,0.9997328,0.9964141547679901
DESI-016.3753-14.5054,16.37531295,-14.50539386,B,0.87,DECaLS,REX,,True,0.122351006,0.99488634,0.8873923,0.5586186721920967
DESI-016.4156-39.6571,16.4186,-39.6572,B,1.0,DECaLS,SER,i,True,0.99909186,0.99999964,0.9997478,0.9995457530021667
DESI-016.4931-34.2383,16.49308262,-34.23827684,B,0.49,DECaLS,SER,v,True,0.9144183,0.9999807,0.9993326,0.9571994841098785
DESI-017.3929-42.4210,17.39288735,-42.4210404,B,1.0,DECaLS,SER,,True,0.86882097,0.78373235,0.99511886,0.8262766599655151
DESI-017.5445-57.6309,17.54449352,-57.63086421,B,0.71,DECaLS,SER,,True,0.9032777,0.99983954,0.9992424,0.9515586197376251
DESI-017.8291-13.6739,17.82908486,-13.6739489,B,0.98,DECaLS,DEV,,True,0.78283745,0.98650545,0.9967211,0.8846714496612549
DESI-018.5321-50.3242,18.5302,-50.3249,B,1.0,DECaLS,DEV,,True,0.999959,1.0,0.99975044,0.9999794960021973
DESI-018.7264-61.6590,18.726406,-61.65904065,B,1.0,DECaLS,DEV,,True,0.9926207,0.99999297,0.9997274,0.996306836605072
DESI-019.1548-10.8077,19.15477558,-10.80774991,B,0.98,DECaLS,SER,,True,0.15392032,0.99917966,0.9096107,0.5765499919652939
DESI-019.6804-06.9332,19.68040655,-6.933202871,B,0.99,DECaLS,REX,,True,0.7180729,0.99529934,0.9948472,0.8566861152648926
DESI-020.0057-44.5344,20.00570717,-44.53441098,B,1.0,DECaLS,REX,,True,0.96966404,0.9980281,0.99963593,0.9838460683822632
DESI-020.2084-10.9069,20.20842111,-10.9068837,B,0.99,DECaLS,SER,,True,0.09939846,0.99993813,0.881268,0.5496682934463024
DESI-020.3641-21.1743,20.3649,-21.1749,B,0.98,DECaLS,SER,,True,0.9908264,0.9999738,0.99972147,0.9954001009464264
DESI-020.4663-18.1241,20.46633246,-18.12410517,B,1.0,DECaLS,DEV,,True,0.99884254,0.99995804,0.999747,0.9994002878665924
