RA,DEC,source,is_new,Name,status,flux_std
31.4869,-2.14302,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.4869-02.1430,ok,0.01498943381011486
31.5561,-1.2381,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.5561-01.2381,ok,0.010883839800953865
31.598,2.3053,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.5980+02.3053,ok,0.05041435733437538
31.59998,-5.11766,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.6000-05.1177,ok,0.008435942232608795
31.6033,-5.4397,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.6033-05.4397,ok,0.013506446033716202
31.9405,-4.7559,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.9405-04.7559,fail:,0.0
31.98307,-4.41349,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.9831-04.4135,fail:,0.0
31.9868,-5.8698,Sonnenfeld2020_SuGOHI_VI,True,DESI-031.9868-05.8698,fail:,0.0
32.1339,-4.5544,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.1339-04.5544,fail:,0.0
32.03809,-4.64668,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.0381-04.6467,fail:,0.0
32.04453,-2.33839,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.0445-02.3384,fail:,0.0
32.0653,-3.14596,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.0653-03.1460,ok,0.006023327354341745
32.067,-2.6234,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.0670-02.6234,ok,0.022463321685791016
32.12034,-4.54843,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.1203-04.5484,ok,0.016555221751332283
32.1568,-4.3597,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.1568-04.3597,ok,0.005251763854175806
32.17696,-3.53513,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.1770-03.5351,ok,0.03295661136507988
32.1952,-3.45769,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.1952-03.4577,ok,0.010296146385371685
32.20109,-4.40751,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.2011-04.4075,ok,0.007511644624173641
32.262,-4.8041,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.2620-04.8041,ok,0.009874534793198109
32.28125,-1.09565,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.2812-01.0957,ok,0.0200053583830595
32.28988,-6.5354,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.2899-06.5354,ok,0.029261687770485878
32.31937,-3.96631,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.3194-03.9663,ok,0.008805436082184315
32.34824,-2.03512,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.3482-02.0351,ok,0.010040932334959507
32.3722,-6.7198,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.3722-06.7198,ok,0.026797154918313026
32.3842,-1.1263,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.3842-01.1263,ok,0.009441576898097992
32.4073,2.3824,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.4073+02.3824,ok,0.02073255553841591
32.41415,-3.33026,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.4141-03.3303,ok,0.014131538569927216
32.4809,-2.745,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.4809-02.7450,ok,0.00698020588606596
32.4902,-3.9158,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.4902-03.9158,ok,0.02062438242137432
32.5098,-2.7178,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.5098-02.7178,ok,0.014580334536731243
32.5437,-1.3102,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.5437-01.3102,ok,0.0113753080368042
32.5714,-3.84602,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.5714-03.8460,ok,0.0066609689965844154
32.59534,-3.33902,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.5953-03.3390,ok,0.01147997472435236
32.6662,-0.6421,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.6662-00.6421,ok,0.05145083740353584
32.66839,-3.7535,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.6684-03.7535,ok,0.007512878626585007
32.67665,-3.99345,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.6767-03.9935,ok,0.018353670835494995
32.67942,-4.35614,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.6794-04.3561,ok,0.028765836730599403
32.71356,-5.96192,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.7136-05.9619,ok,0.022653134539723396
32.78553,-3.77235,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.7855-03.7723,ok,0.014194890856742859
32.815,-3.7301,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.8150-03.7301,ok,0.0063309092074632645
32.82709,-4.45807,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.8271-04.4581,ok,0.004988294560462236
32.8441,-4.3681,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.8441-04.3681,ok,0.011866266839206219
32.85128,-3.2319,Sonnenfeld2020_SuGOHI_VI,True,DESI-032.8513-03.2319,ok,0.010203925892710686
