name,ra,dec,catalog,survey_key,p_meta
s_12233_7542,162.86359193507676,-74.402956708941,dr11,dr11,0.7913271
s_215052_6934,90.88395284563902,-20.46632866103978,dr11,dr11,0.7911563
s_500742_22232,23.484485497787333,30.93557990033158,dr11,dr11,0.7907523
s_23764_4161,132.66029800950346,-68.18755879862104,dr11,dr11,0.7905135
s_203483_6140,223.49664486888224,-22.76851906348725,dr11,dr11,0.79023415
s_49305_2132,267.18356514484293,-58.413489519024495,dr11,dr11,0.7901649
s_305924_10022,6.7503586706093,-4.223250908131488,dr11,dr11,0.78998864
s_218735_721,350.2028156615544,-20.049748394694305,dr11,dr11,0.7897465
s_502450_1680,161.11446569345568,31.234351899467537,dr11,dr11,0.78906906
s_251013_4202,137.4230046041362,-13.960057670584687,dr11,dr11,0.789037
s_442631_1262,155.24264529418625,19.822722433704573,dr11,dr11,0.7884453
s_263391_2089,69.17344138964594,-11.761237958816594,dr11,dr11,0.7883368
s_52784_6773,95.07703695823382,-57.32928737648061,dr11,dr11,0.7879521
s_426295_4804,182.02291885088192,16.632623760672214,dr11,dr11,0.78791916
s_173922_7386,322.80434347228254,-28.528924389333213,dr11,dr11,0.78753364
s_225679_7025,25.72034213745647,-18.521083921851908,dr11,dr11,0.7874076
s_202029_2342,189.58725946096772,-22.91836368667309,dr11,dr11,0.78730863
s_282120_2558,142.11323115626448,-8.595951182715401,dr11,dr11,0.78709507
s_323786_3896,154.69719023427663,-1.359039043652778,dr11,dr11,0.7867421
s_64085_7467,32.65355278513002,-53.86465994673651,dr11,dr11,0.78519714
s_17047_5135,304.21906004788576,-71.8089862873584,dr11,dr11,0.7850383
s_231374_7217,80.8029004642693,-17.54661409933872,dr11,dr11,0.78482157
s_262527_4841,208.80101083396715,-12.00766708399502,dr11,dr11,0.7843472
s_80131_4135,349.0203713178837,-49.59396267483664,dr11,dr11,0.7842338
s_254760_10844,20.7598220045568,-13.22272681761172,dr11,dr11,0.7839345
s_106191_10494,3.386523531840925,-42.658103823934056,dr11,dr11,0.783794
s_165468_9648,64.7771296596075,-29.99369776904312,dr11,dr11,0.7833565
s_297589_2953,76.1619009151769,-5.695211085279486,dr11,dr11,0.7833541
s_169248_8106,70.62360361127327,-29.344690400999525,dr11,dr11,0.7832948
s_146892_5777,0.8182922223244201,-33.80124374717516,dr11,dr11,0.78273845
s_387596_2188,326.20078752609425,9.732497410592266,dr11,dr11,0.7826364
s_167549_3421,303.4724857109145,-29.756814385741293,dr11,dr11,0.78243554
s_127126_9195,27.437185682226747,-38.11493754407461,dr11,dr11,0.7823688
s_489888_387,141.85156846072286,28.663772986186665,dr11,dr11,0.78189117
s_326217_2336,42.299592215739466,-0.8136001132776978,dr11,dr11,0.78183955
s_343178_6475,322.6958286065029,1.9990560783332048,dr11,dr11,0.78177065
s_300671_221,129.6153623859519,-5.209994481075555,dr11,dr11,0.7812958
s_104272_5333,67.92347755455404,-43.29463134711915,dr11,dr11,0.780751
s_95070_5466,96.25051142569194,-45.435756659874734,dr11,dr11,0.78043467
s_300291_2747,34.40481481667397,-5.224850119274835,dr11,dr11,0.7792903
s_256199_9097,29.68192584216909,-13.02584833388891,dr11,dr11,0.77897215
s_300914_1200,190.58138844232775,-5.36442104460003,dr11,dr11,0.77872026
s_217461_3974,12.04505045424496,-19.920559907341698,dr11,dr11,0.7786491
s_205612_7704,79.01309775208398,-22.146425914185787,dr11,dr11,0.77834487
s_154277_1256,39.873648165428165,-32.19157544751788,dr11,dr11,0.7782298
s_368280_1915,131.82131638168966,6.409028641338211,dr11,dr11,0.77813995
s_5860_5606,40.6990311811868,-79.2035265677782,dr11,dr11,0.7781348
s_298797_6315,19.494888031729605,-5.454953771983721,dr11,dr11,0.77787304
s_36700_530,347.9904481204408,-63.1175682464898,dr11,dr11,0.77746034
s_198881_2761,54.25825465497198,-23.5662213267226,dr11,dr11,0.7757361
s_249571_7040,126.1432440237424,-14.215063201792798,dr11,dr11,0.7757167
s_123800_994,47.983321245788986,-38.69500198254718,dr11,dr11,0.7754431
s_94933_7964,47.55479242741815,-45.57426955047772,dr11,dr11,0.77542335
s_323461_7107,73.4867106505327,-1.2270300876675402,dr11,dr11,0.77531904
s_88099_5592,96.0658726746994,-47.16164751530514,dr11,dr11,0.7752537
s_262936_6552,313.2700479664585,-11.901339096877203,dr11,dr11,0.77508813
s_218094_1236,180.05824995585067,-20.047008736225784,dr11,dr11,0.77469677
s_96598_10147,278.1043333587264,-45.252924171278906,dr11,dr11,0.7745336
s_111542_5062,4.818091330109474,-41.61409084391781,dr11,dr11,0.77411246
s_264802_5232,69.0021434043019,-11.547735855456589,dr11,dr11,0.7740532
s_252414_1005,137.85985443651035,-13.670208218339097,dr11,dr11,0.77364975
s_433301_4979,214.57202860864672,17.98089259466628,dr11,dr11,0.77336115
s_394431_6727,261.7636774581504,11.002099352408676,dr11,dr11,0.7729804
s_258241_5063,192.991698319812,-12.839721753978576,dr11,dr11,0.7728758
