[setup] rank=0/1 device=cuda approach=a steps=10000 mask_ratio=0.5 redshift_weight=50.0
[data] loading manifest /raid/benson/data/desi_dr1_medium/manifest.jsonl
[data] 373 healpix records
[data] healpix split: 354 train, 19 val (frac=0.05)
[tok] loading spectrum tokenizer /raid/benson/data/desi_dr1_medium/checkpoints/tokenizer_v1_large/best.pt (kind=v1)
[tok] fitting redshift tokenizer on up to 200 redrock files
[tok]   gathered 265687 z values, min=-0.0019 max=5.6786
[step   4800] loss=225.8832 z_loss=4.385 spec_loss=2.230 z_acc=0.045 spec_acc=0.384 masked_acc=0.382 rz_masked_acc=0.000 mask_r2=0.706 mask_auc=nan all_r2=0.708 all_auc=nan 0.4 step/s
[step   4900] loss=218.1627 z_loss=4.239 spec_loss=2.034 z_acc=0.000 spec_acc=0.419 masked_acc=0.416 rz_masked_acc=0.000 mask_r2=0.735 mask_auc=nan all_r2=0.733 all_auc=nan 0.4 step/s
[step   5000] loss=210.5169 z_loss=4.081 spec_loss=2.372 z_acc=0.050 spec_acc=0.373 masked_acc=0.371 rz_masked_acc=0.083 mask_r2=0.687 mask_auc=nan all_r2=0.689 all_auc=nan 0.4 step/s
[val     5000] loss=222.4501 overall_acc=0.4259 redshift_acc=0.0236 spectrum_acc=0.4274 loss_redshift=4.3219 loss_spectrum=2.0633 loss_total=2.0716 masked_spec_acc=0.4255 redshift_acc_masked=0.0140 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  ckpt -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/step_00005000.pt
[step   5100] loss=208.1114 z_loss=4.041 spec_loss=2.007 z_acc=0.105 spec_acc=0.434 masked_acc=0.422 rz_masked_acc=0.000 mask_r2=0.733 mask_auc=nan all_r2=0.737 all_auc=nan 0.4 step/s
[step   5200] loss=210.9615 z_loss=4.090 spec_loss=2.266 z_acc=0.000 spec_acc=0.355 masked_acc=0.351 rz_masked_acc=0.000 mask_r2=0.702 mask_auc=nan all_r2=0.703 all_auc=nan 0.4 step/s
[step   5300] loss=223.0663 z_loss=4.337 spec_loss=2.078 z_acc=0.000 spec_acc=0.412 masked_acc=0.398 rz_masked_acc=0.000 mask_r2=0.722 mask_auc=nan all_r2=0.728 all_auc=nan 0.4 step/s
[step   5400] loss=189.4618 z_loss=3.670 spec_loss=2.197 z_acc=0.043 spec_acc=0.370 masked_acc=0.360 rz_masked_acc=0.000 mask_r2=0.706 mask_auc=nan all_r2=0.712 all_auc=nan 0.5 step/s
[step   5500] loss=206.0971 z_loss=3.996 spec_loss=2.272 z_acc=0.048 spec_acc=0.371 masked_acc=0.375 rz_masked_acc=0.000 mask_r2=0.704 mask_auc=nan all_r2=0.702 all_auc=nan 0.5 step/s
[val     5500] loss=220.2290 overall_acc=0.4324 redshift_acc=0.0274 spectrum_acc=0.4339 loss_redshift=4.2779 loss_spectrum=2.0431 loss_total=2.0513 masked_spec_acc=0.4315 redshift_acc_masked=0.0175 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
  *** new best val_loss=220.2290 -> /raid/benson/data/desi_dr1_medium/checkpoints/checkpoints/approach_a_phase10_xlarge_seed12345/best.pt
  [ar_best   5500] ar_redshift_acc=0.00510204081632653 ar_spectrum_acc=0.16485385362936383 ar_mean_mask_auc=nan ar_masked_spec_r2=nan ar_all_mean_auc=nan ar_all_spec_r2=nan n_samples=196
[step   5600] loss=201.6908 z_loss=3.913 spec_loss=2.145 z_acc=0.111 spec_acc=0.424 masked_acc=0.424 rz_masked_acc=0.000 mask_r2=0.720 mask_auc=nan all_r2=0.719 all_auc=nan 0.4 step/s
[step   5700] loss=212.8680 z_loss=4.129 spec_loss=2.321 z_acc=0.087 spec_acc=0.358 masked_acc=0.357 rz_masked_acc=0.111 mask_r2=0.696 mask_auc=nan all_r2=0.696 all_auc=nan 0.4 step/s
[step   5800] loss=209.6026 z_loss=4.066 spec_loss=2.228 z_acc=0.095 spec_acc=0.387 masked_acc=0.383 rz_masked_acc=0.000 mask_r2=0.704 mask_auc=nan all_r2=0.708 all_auc=nan 0.4 step/s
[step   5900] loss=213.4803 z_loss=4.148 spec_loss=2.013 z_acc=0.056 spec_acc=0.464 masked_acc=0.465 rz_masked_acc=0.000 mask_r2=0.735 mask_auc=nan all_r2=0.736 all_auc=nan 0.4 step/s
[step   6000] loss=234.2817 z_loss=4.552 spec_loss=2.117 z_acc=0.000 spec_acc=0.416 masked_acc=0.408 rz_masked_acc=0.000 mask_r2=0.724 mask_auc=nan all_r2=0.723 all_auc=nan 0.4 step/s
[val     6000] loss=222.4764 overall_acc=0.4322 redshift_acc=0.0321 spectrum_acc=0.4337 loss_redshift=4.3222 loss_spectrum=2.0422 loss_total=2.0506 masked_spec_acc=0.4310 redshift_acc_masked=0.0162 mean_mask_auc=nan masked_spec_r2=nan all_mean_auc=nan all_spec_r2=nan
[step   6100] loss=217.8998 z_loss=4.233 spec_loss=2.065 z_acc=0.100 spec_acc=0.428 masked_acc=0.435 rz_masked_acc=0.000 mask_r2=0.732 mask_auc=nan all_r2=0.729 all_auc=nan 0.4 step/s
[step   6200] loss=210.6123 z_loss=4.085 spec_loss=2.242 z_acc=0.000 spec_acc=0.375 masked_acc=0.374 rz_masked_acc=0.000 mask_r2=0.703 mask_auc=nan all_r2=0.706 all_auc=nan 0.4 step/s
