index,Ra,Dec,ref,klc_dup
360,10.60976,-33.58381,Petrillo et al. 2019,1
361,10.6304,-31.47315,Petrillo et al. 2019,1
362,10.633333333333333,-17.229166666666664,Canameras et al. 2020,1
363,10.704161,1.3361976,Stein21,1
364,10.73881,-37.31623,Jacobs et al. 2019b,1
365,10.749083,-60.629126,ODonnell22,1
366,10.846679,-62.803256,ODonnell22,1
367,10.853851318359377,17.723190307617188,Talbot,1
368,10.85733699798584,0.3001928329467773,Talbot,1
369,10.920641,5.61503,Stein21,1
370,10.926358222961426,-0.0498495772480964,Talbot,1
371,10.92909,-31.26654000000001,Petrillo et al. 2019,1
372,10.94209,-30.82482000000001,Petrillo et al. 2019,1
10404,10.9437202,-50.10363148,Storfer 2023,2
374,10.944762,-31.197894,ODonnell22,1
375,10.945482,-13.872406,Stein21,1
376,10.98143,-34.887714,ODonnell22,1
12211,11.01208,1.2201799999999998,SLACS,2
378,11.02193,-4.80583,Huang et al. 2020a,1
379,11.075,-24.08333333333333,Canameras et al. 2020,1
380,11.08066,-35.06883,Li21,1
381,11.10528,-31.9987,Petrillo et al. 2019,1
382,11.141103,-32.025276,Stein21,1
10407,11.1551,-0.9223,Storfer 2023,2
384,11.16897,-32.04345,Petrillo et al. 2019,1
385,11.183902740478516,8.1029691696167,Talbot,1
386,11.190395,-22.192509,Stein21,1
10408,11.20934134,-34.31249387,Storfer 2023,2
388,11.235219955444336,-8.39481258392334,Talbot,1
389,11.251203536987305,2.947804450988769,Talbot,1
390,11.267827,-21.036959,Stein21,1
391,11.287328,-5.178099,ODonnell22,1
392,11.35765,-47.880790000000005,Diehl et al. 2017,1
393,11.375,10.115277777777775,Canameras et al. 2020,1
394,11.41233,-24.567171,Stein21,1
395,11.429166666666667,-16.16361111111111,Canameras et al. 2020,1
396,11.43211,-29.12109,Petrillo et al. 2019,1
397,11.441675,-20.219726,ODonnell22,1
398,11.455148696899414,12.429116249084473,Talbot,1
399,11.459045,-1.726783,ODonnell22,1
400,11.493571,-51.994034,ODonnell22,1
401,11.50837,-1.94118,Jacobs et al. 2019b Huang et al. 2020a Jacobs et al. 2019b,1
402,11.546068,-18.271152,Stein21,1
10269,11.5581,-57.6993,Storfer 2023,2
404,11.558863,7.4949594,Stein21,1
405,11.581817626953123,-0.6261070370674133,Talbot,1
406,11.633579,-1.575573,ODonnell22,1
407,11.7,-18.68194444444445,Canameras et al. 2020,1
408,11.74831,1.46004,Jacobs et al. 2019b,1
409,11.75654,-29.08823,Jacobs et al. 2019b,1
410,11.77097,-29.2613,Petrillo et al. 2019,1
411,11.79501,-30.8903,Petrillo et al. 2019,1
412,11.877939,-17.3783,Stein21,1
413,11.881908416748049,22.24739646911621,Talbot,1
414,11.92348,-6.1032,Huang et al. 2020a,1
415,11.96161,5.13889,RCS2 J0047+0508,1
