name,RA,DEC,grade,score,resnet_model,region,probability,tractor_type,spec_z,photo_z,score_l18,sep_l18,in_parent_l18,score_shielded,sep_shielded,in_parent_shielded,in_training,score_combined,in_parent_combined
DESI-083.5074-25.3491,83.5074,-25.3491,A,3.5,shielded,DECaLS,0.94,REX,,0.477+/-0.064,0.9481438398361206,0.5150187328400996,True,0.8380345106124878,0.5150187328400996,True,False,0.9481438398361206,True
DESI-086.3066-26.5884,86.3066,-26.5884,A,4.0,l18,DECaLS,1.0,DC,,0.448+/-0.083,0.9942449927330017,0.18470605694074146,True,0.994149923324585,0.18470605694074146,True,True,0.9942449927330017,True
DESI-087.1525-36.2427,87.1525,-36.2427,A,4.0,l18,DECaLS,0.42,REX,,0.305+/-0.036,0.9894352555274963,0.3237036065101268,True,0.9681601524353027,0.3237036065101268,True,True,0.9894352555274963,True
DESI-090.9854-35.9683,90.9854,-35.9683,A,4.0,l18,DECaLS,0.9,REX,,0.529+/-0.115,0.9997491240501404,0.22630960226464913,True,0.9948660135269165,0.22630960226464913,True,True,0.9997491240501404,True
DESI-094.5639+50.3059,94.5639,50.3059,A,3.5,l18,MzLS,1.0,DC,,0.522+/-0.020,0.9977067708969116,0.06639917310226538,True,0.9976432919502258,0.06639917310226538,True,True,0.9977067708969116,True
DESI-102.2440+36.2021,102.244,36.2021,A,3.5,l18,MzLS,1.0,DC,,0.659+/-0.047,0.9998218417167664,0.20449582495878313,True,0.9993137121200562,0.20449582495878313,True,True,0.9998218417167664,True
DESI-104.1909+38.7456,104.1909,38.7456,A,4.0,l18,MzLS,1.0,DC,0.4549,,0.999962329864502,0.17347281015232238,True,0.9999164342880249,0.17347281015232238,True,True,0.999962329864502,True
DESI-107.5775+40.1752,107.5775,40.1752,A,4.0,l18,MzLS,1.0,DC,0.2928,,0.9998906850814819,0.08635257570850538,True,0.999840497970581,0.08635257570850538,True,True,0.9998906850814819,True
DESI-109.4199+46.4087,109.4199,46.4087,A,3.5,l18,MzLS,0.9,DC,,0.429+/-0.074,0.9996026158332825,0.08017921310259207,True,0.9991291165351868,0.08017921310259207,True,True,0.9996026158332825,True
DESI-109.9018+27.9032,109.9018,27.9032,A,4.0,l18,DECaLS,0.63,DC,,0.533+/-0.016,0.9935534000396729,0.07093507670874849,True,0.9983692765235901,0.07093507670874849,True,True,0.9983692765235901,True
