row_index,Name,RA,DEC,tractor_type,Score,Probability,resnet_model,Region,Spec,photo_z,g_mag,r_mag,z_mag,row_id,status_fits,bytes_fits,attempts_fits
112,DESI-134.3046+16.4322,134.3046,16.4322,DC,3.5,0.38,L18,DECaLS,0.4441,,20.86,19.03,17.95,DESI-134.3046+16.4322,skip,126720,0
113,DESI-139.5922+61.1759,139.5922,61.1759,REX,3.5,0.29,L18,MzLS,,0.242+/-0.062,22.01,20.57,19.75,DESI-139.5922+61.1759,fail: HTTP 429,0,5
114,DESI-141.4491+37.3023,141.4491,37.3023,DC,3.5,0.65,L18,MzLS,0.5527,,22.01,20.2,18.78,DESI-141.4491+37.3023,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=141.449100&dec=37.302300&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
115,DESI-142.0189+20.5292,142.0189,20.5292,DC,3.5,0.2,L18,DECaLS,,0.198+/-0.006,16.92,15.62,14.82,DESI-142.0189+20.5292,ok,126720,1
116,DESI-142.9212-06.7297,142.9212,-6.7297,REX,4.0,0.1,L18,DECaLS,,0.264+/-0.032,20.31,19.01,18.25,DESI-142.9212-06.7297,skip,126720,0
117,DESI-147.9185+07.5090,147.9185,7.509,DC,4.0,0.15,L18,DECaLS,0.3527,,20.27,18.63,17.74,DESI-147.9185+07.5090,skip,126720,0
119,DESI-151.1424+41.2121,151.1424,41.2121,DC,4.0,0.3,L18,MzLS,0.5934,,21.03,19.29,17.76,DESI-151.1424+41.2121,fail: HTTP 429,0,5
121,DESI-151.7182-07.9276,151.7182,-7.9276,DC,4.0,0.99,L18,DECaLS,,0.569+/-0.025,21.34,19.45,18.13,DESI-151.7182-07.9276,skip,126720,0
123,DESI-153.7937+32.5308,153.7937,32.5308,DC,4.0,0.08,L18,MzLS,,0.243+/-0.147,19.81,18.21,17.37,DESI-153.7937+32.5308,ok,126720,1
126,DESI-157.6135-06.6858,157.6135,-6.6858,DC,4.0,1.0,L18,DECaLS,,0.463+/-0.029,20.48,18.68,17.59,DESI-157.6135-06.6858,ok,126720,1
127,DESI-160.1716+18.8477,160.1716,18.8477,DC,4.0,0.35,L18,DECaLS,,0.358+/-0.039,19.13,17.54,16.65,DESI-160.1716+18.8477,skip,126720,0
128,DESI-161.1159+31.2337,161.1159,31.2337,DC,4.0,0.83,L18,DECaLS,0.5291,,22.85,20.98,19.4,DESI-161.1159+31.2337,ok,126720,1
129,DESI-161.4114-08.8359,161.4114,-8.8359,DC,3.5,0.98,L18,DECaLS,,0.813+/-0.150,22.07,20.94,19.29,DESI-161.4114-08.8359,skip,126720,0
130,DESI-162.3475+35.7447,162.3475,35.7447,DC,3.5,0.29,L18,MzLS,0.2603,,19.18,17.52,16.6,DESI-162.3475+35.7447,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=162.347500&dec=35.744700&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
132,DESI-166.9974+04.1560,166.9974,4.156,DC,3.5,0.67,L18,DECaLS,0.3359,,18.86,17.12,16.18,DESI-166.9974+04.1560,skip,126720,0
133,DESI-168.7683+16.7607,168.7683,16.7607,DC,4.0,0.96,L18,DECaLS,0.6197,,21.31,19.39,18.17,DESI-168.7683+16.7607,skip,126720,0
136,DESI-173.3049+50.1444,173.3049,50.1444,DC,4.0,0.92,L18,MzLS,0.2426,,18.8,17.33,16.36,DESI-173.3049+50.1444,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=173.304900&dec=50.144400&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
137,DESI-174.5481+14.7863,174.5481,14.7863,DC,3.5,0.96,L18,DECaLS,0.5457,,21.6,19.87,18.61,DESI-174.5481+14.7863,skip,126720,0
138,DESI-175.0410+22.8792,175.041,22.8792,DC,3.5,0.99,L18,DECaLS,0.5426,,21.16,19.43,18.13,DESI-175.0410+22.8792,skip,126720,0
139,DESI-175.4961+19.3041,175.4961,19.3041,REX,4.0,1.0,L18,DECaLS,0.5425,,21.12,19.86,18.87,DESI-175.4961+19.3041,skip,126720,0
140,DESI-176.0987+17.7551,176.0987,17.7551,DC,3.5,0.49,L18,DECaLS,0.5273,,21.19,19.28,18.01,DESI-176.0987+17.7551,skip,126720,0
141,DESI-178.0775+08.8170,178.0775,8.817,DC,4.0,1.0,L18,DECaLS,0.3244,,20.33,18.75,17.88,DESI-178.0775+08.8170,ok,126720,1
142,DESI-179.0228+19.1869,179.0228,19.1869,DC,4.0,1.0,L18,DECaLS,0.5689,,21.23,19.36,18.1,DESI-179.0228+19.1869,ok,126720,2
143,DESI-179.5632-06.6056,179.5632,-6.6056,DC,3.5,0.75,L18,DECaLS,,0.430+/-0.014,20.58,18.77,17.79,DESI-179.5632-06.6056,skip,126720,0
144,DESI-179.8326+61.7939,179.8326,61.7939,DC,3.5,0.99,L18,MzLS,0.3393,,20.5,18.84,17.88,DESI-179.8326+61.7939,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=179.832600&dec=61.793900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
146,DESI-181.9031+52.9176,181.9031,52.9176,DC,4.0,1.0,L18,MzLS,0.3428,,19.59,18.03,17.17,DESI-181.9031+52.9176,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=181.903100&dec=52.917600&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
149,DESI-187.2782+59.1413,187.2782,59.1413,DC,3.5,0.98,L18,MzLS,0.5802,,21.84,20.25,18.83,DESI-187.2782+59.1413,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=187.278200&dec=59.141300&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
150,DESI-188.2155+27.0359,188.2155,27.0359,DC,3.5,1.0,L18,DECaLS,0.5566,,21.19,19.89,18.91,DESI-188.2155+27.0359,skip,126720,0
151,DESI-189.4008+55.5619,189.4008,55.5619,DC,4.0,1.0,L18,MzLS,0.4279,,20.2,18.45,17.51,DESI-189.4008+55.5619,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=189.400800&dec=55.561900&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
152,DESI-189.9885+12.6693,189.9885,12.6693,DC,3.5,0.16,L18,DECaLS,0.2183,,19.1,17.79,17.03,DESI-189.9885+12.6693,ok,126720,1
153,DESI-190.1345+45.1508,190.1345,45.1508,DC,4.0,1.0,L18,MzLS,0.2256,,19.56,18.24,17.41,DESI-190.1345+45.1508,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=190.134500&dec=45.150800&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
155,DESI-190.7929+21.3329,190.7929,21.3329,DC,3.5,0.99,L18,DECaLS,0.3106,,20.07,18.34,17.45,DESI-190.7929+21.3329,ok,126720,1
156,DESI-191.2226+04.2210,191.2226,4.221,DC,3.5,0.83,L18,DECaLS,0.326,,19.86,18.22,17.37,DESI-191.2226+04.2210,skip,126720,0
157,DESI-192.4699+03.1592,192.4699,3.1592,DC,3.5,1.0,L18,DECaLS,0.3202,,20.16,18.5,17.61,DESI-192.4699+03.1592,skip,126720,0
158,DESI-192.9428+01.7155,192.9428,1.7155,DC,4.0,0.31,L18,DECaLS,0.673,,22.22,20.16,18.47,DESI-192.9428+01.7155,skip,126720,0
159,DESI-196.4575+22.9256,196.4575,22.9256,DC,4.0,1.0,L18,DECaLS,0.2677,,20.18,18.59,17.69,DESI-196.4575+22.9256,skip,126720,0
161,DESI-200.7252+58.1651,200.7252,58.1651,DC,4.0,0.68,L18,MzLS,0.2229,,18.44,17.2,16.46,DESI-200.7252+58.1651,fail: 500 Server Error: Internal Server Error for url: https://www.legacysurvey.org/viewer/fits-cutout?ra=200.725200&dec=58.165100&size=101&layer=decals-dr7&pixscale=0.262&bands=grz,0,5
