name,RA,DEC,grade,nearest_row_id,nearest_sep_arcsec,nearest_score,in_scored_set
DESI-029.1778-10.1834,29.1778,-10.1834,C,271722_5879,0.11714720827605324,0.9999532699584961,True
DESI-030.8114-09.1587,30.8114,-9.1587,C,277409_5539,0.10404342837410117,0.9970446228981018,True
DESI-031.8778-14.8046,31.8778,-14.8046,C,246415_1712,50.077530187909076,0.009802640415728092,False
DESI-033.9735-12.6841,33.9735,-12.6841,C,257620_4942,0.13364785348335367,0.09839093685150146,True
DESI-034.0253-04.5771,34.0253,-4.5771,C,304597_1977,0.13493782637643853,0.36798763275146484,True
DESI-034.3281-05.1331,34.3281,-5.1331,C,300290_8060,23.6455552071986,0.013828528113663197,False
DESI-035.7202-03.9575,35.7202,-3.9575,C,307478_7097,0.20909516399043837,0.6703270077705383,True
DESI-035.8285-04.3979,35.8285,-4.3979,C,304604_10568,0.1327490850362064,0.23758375644683838,True
DESI-035.8379-07.3794,35.8379,-7.3794,C,287408_6345,0.16695064530057066,0.9010363817214966,True
DESI-035.8438-06.3246,35.8438,-6.3246,C,294562_1910,0.22278138765657554,0.5619691014289856,True
DESI-035.8660-18.4836,35.866,-18.4836,C,225718_3464,0.15560473460486823,0.3600293695926666,True
DESI-035.9027-06.8806,35.9027,-6.8806,C,290268_9270,0.18029054516394033,0.1285770833492279,True
DESI-035.9185-05.8453,35.9185,-5.8453,C,297429_1039,0.028859461811823178,0.27254775166511536,True
DESI-035.9393-04.4005,35.9393,-4.4005,C,304605_10428,0.13428862068345487,0.9998716115951538,True
DESI-036.0184-04.4084,36.0184,-4.4084,C,304605_10628,0.18714520236177629,0.7022261619567871,True
DESI-036.0256-06.4796,36.0256,-6.4796,C,293131_5075,0.10805684862077661,0.2690187990665436,True
DESI-036.0536-06.1645,36.0536,-6.1645,C,294563_7246,0.08951375199579359,0.21047809720039368,True
DESI-036.0653-05.8029,36.0653,-5.8029,C,297429_2321,0.22365261071533335,0.03806665912270546,True
DESI-036.0879+00.0726,36.0879,0.0726,C,330512_5814,0.07550935998245492,0.5670901536941528,True
DESI-036.1151-05.2254,36.1151,-5.2254,C,300298_6779,0.11522622005446383,0.9754385948181152,True
