rank,is_new,rank_within_new,row_id,RA,DEC,mean5,footprint,brick,sep_arcsec,klc_ra,klc_dec,klc_index,klc_ref,klc_dup,klc_catalog
42806,1,36211.0,s_148095_6350,1.6700421016556208,-33.39763985521679,0.2579572754912078,south,0016m335,0.12634980318393763,1.67002,-33.39761,58,Petrillo et al. 2019,1,klc_clean250629ymh
130,0,,s_423463_1232,164.1865994213796,16.30703509691941,0.5257478371262551,south,1642p162,0.12636472596692278,164.1866,16.307,9955,Huang 2022,1,klc_clean250629ymh
2539,1,1246.0,s_489356_5764,350.5678190797094,28.521230857101173,0.3837544519803487,south,3504p285,0.1264209695870493,350.5678,28.5212,10881,Storfer 2023,1,klc_clean250629ymh
5016,1,3003.0,s_65706_743,352.4838518960026,-53.47717960582748,0.3529940822161734,south,3526m535,0.12654024957323512,352.4839,-53.4772,10883,Storfer 2023,2,klc_clean250629ymh
55592,0,,s_40930_1917,75.56297345451523,-61.23148593327418,0.2469171286094933,south,0757m612,0.12682234816567822,75.56291999999999,-61.23151,2809,Diehl et al. 2017,1,klc_clean250629ymh
1813,0,,s_326007_6073,349.8902091149837,-1.1027659491601145,0.3990127659635618,south,3498m010,0.12689741359448092,349.8902,-1.1028,10233,Huang 2022,2,klc_clean250629ymh
37914,1,31757.0,s_352724_6112,190.48553089183233,3.7332172178353935,0.2630964903917629,south,1903p037,0.12711178801969314,190.4855,3.7332,10011,Huang 2022,1,klc_clean250629ymh
17879,1,13749.0,s_325894_8964,321.71310590424594,-0.9742848223789607,0.2951949789188802,south,3216m010,0.12714923361843777,321.7131,-0.97425,7581,Jacobs et al. 2019b,1,klc_clean250629ymh
109553,1,97791.0,s_159095_7845,15.109280893512164,-31.256784471767276,0.2180274216574616,south,0150m312,0.1272234134298723,15.10929,-31.25675,538,Petrillo et al. 2019,1,klc_clean250629ymh
98049,1,87204.0,s_186995_9855,28.784499482251885,-25.846335345377824,0.2226508313789963,south,0286m257,0.12725441648031138,28.7845,-25.8463,9543,Huang 2022,1,klc_clean250629ymh
936,0,,s_51135_287,49.90707641439414,-57.852188367321446,0.4298620781395584,south,0501m577,0.12735772021306188,49.90701,-57.85219,2341,Jacobs et al. 2019b,1,klc_clean250629ymh
119318,1,106750.0,s_287456_2236,47.91742315688952,-7.517973057538678,0.2144481340772472,south,0479m075,0.1274297355316355,47.9174,-7.518,9661,Huang 2022,1,klc_clean250629ymh
60201,0,,s_165311_1867,19.341659156017283,-30.04270258122905,0.2435012555215507,south,0194m300,0.12762285598736284,19.3417,-30.0427,9471,Huang 2022,1,klc_clean250629ymh
13214,1,9666.0,s_50209_967,334.99232703017924,-58.27246251607177,0.3087237145635299,south,3351m582,0.12775442006249826,334.9923,-58.27243000000001,7913,Diehl et al. 2017,1,klc_clean250629ymh
3367,1,1804.0,s_391163_4565,151.2523054261429,10.449935103836603,0.3702709048986435,south,1511p105,0.12782554104302113,151.2523,10.4499,9922,Huang 2022,1,klc_clean250629ymh
6030,1,3767.0,s_51052_9347,11.558077279183726,-57.69933336831129,0.3444261186756193,south,0114m577,0.1278305069226121,11.5581,-57.6993,10269,Storfer 2023,2,klc_clean250629ymh
100090,1,89094.0,s_513628_2951,223.24642604648105,33.39702128903235,0.2217870314139872,south,2232p335,0.12788335305120785,223.246417,33.397056,12315,BELLS,1,klc_clean250629ymh
3207,0,,s_99110_9326,81.36685492440435,-44.40373476209496,0.3726669597439468,south,0812m445,0.12790370015446656,81.36681,-44.40375,2870,Jacobs et al. 2019b Diehl et al. 2017,1,klc_clean250629ymh
89324,0,,s_396716_3689,123.54198668021316,11.53646680769005,0.226704822195461,south,1235p115,0.12839691937150322,123.542,11.5365,9874,Huang 2022,1,klc_clean250629ymh
21022,1,16504.0,s_89988_850,66.93034827453033,-46.79469555992162,0.2882065646233968,south,0670m467,0.12848140936388613,66.9304,-46.7947,11525,Storfer 2023,1,klc_clean250629ymh
9563,0,,s_169248_8106,70.62360361127327,-29.344690400999525,0.3233318115584552,south,0705m292,0.1285257585380322,70.62357,-29.34467,2722,Jacobs et al. 2019b,1,klc_clean250629ymh
2755,1,1392.0,s_271785_1693,44.98482824617021,-10.247622483441283,0.3800864161690697,south,0450m102,0.12870188744014618,44.9848,-10.2476,9648,Huang 2022,1,klc_clean250629ymh
