name,RA,DEC,grade
DESI-138.6664-00.0821,138.6664,-0.0821,C
DESI-149.1942+00.7137,149.1942,0.7137,C
DESI-150.2022+01.6538,150.2022,1.6538,C
DESI-150.4045+02.5544,150.4045,2.5544,C
DESI-151.2006-03.7158,151.2006,-3.7158,C
DESI-151.7664+02.1430,151.7664,2.143,C
DESI-151.9855+02.4052,151.9855,2.4052,C
DESI-152.5264-01.9658,152.5264,-1.9658,C
DESI-152.8042-02.0432,152.8042,-2.0432,C
DESI-153.0462-00.8142,153.0462,-0.8142,C
DESI-154.3116+02.4885,154.3116,2.4885,C
DESI-155.4226+00.6966,155.4226,0.6966,C
DESI-158.0944+15.8846,158.0944,15.8846,C
DESI-158.8311-00.5674,158.8311,-0.5674,C
DESI-170.8533+15.1850,170.8533,15.185,C
DESI-176.2181+08.9457,176.2181,8.9457,C
DESI-180.0490-00.4182,180.049,-0.4182,C
DESI-181.9442+27.6152,181.9442,27.6152,C
DESI-184.3703+15.6730,184.3703,15.673,C
DESI-193.6112-08.7744,193.6112,-8.7744,C
DESI-201.4063+04.1883,201.4063,4.1883,C
DESI-203.3751-02.1804,203.3751,-2.1804,C
DESI-203.3977-01.7388,203.3977,-1.7388,C
DESI-204.7174-08.3381,204.7174,-8.3381,C
DESI-205.7370+22.6135,205.737,22.6135,C
DESI-210.3880+13.3370,210.388,13.337,C
DESI-212.6868-07.1025,212.6868,-7.1025,C
DESI-240.0759+05.6966,240.0759,5.6966,C
DESI-240.3397+05.0773,240.3397,5.0773,C
DESI-240.4006+05.5796,240.4006,5.5796,C
DESI-240.5350+06.0657,240.535,6.0657,C
DESI-240.7203+06.5371,240.7203,6.5371,C
DESI-241.2494+06.8555,241.2494,6.8555,C
DESI-241.3833+15.8226,241.3833,15.8226,C
DESI-241.7841+07.0210,241.7841,7.021,C
DESI-241.8463+07.1753,241.8463,7.1753,C
DESI-242.0285+03.8786,242.0285,3.8786,C
DESI-242.4262+06.1599,242.4262,6.1599,C
DESI-249.9825+19.0354,249.9825,19.0354,C
DESI-251.0765+01.6752,251.0765,1.6752,C
DESI-251.1722+04.9724,251.1722,4.9724,C
DESI-317.2431+03.9841,317.2431,3.9841,C
DESI-319.7989+00.0575,319.7989,0.0575,C
DESI-338.0990+01.5111,338.099,1.5111,C
DESI-351.1264-11.6503,351.1264,-11.6503,C
DESI-351.1287-11.2566,351.1287,-11.2566,C
DESI-351.1413-12.4955,351.1413,-12.4955,C
DESI-351.2285-11.6281,351.2285,-11.6281,C
DESI-351.2576-12.7728,351.2576,-12.7728,C
DESI-351.3096-12.5492,351.3096,-12.5492,C
DESI-351.3891-12.0013,351.3891,-12.0013,C
DESI-351.4008-11.9943,351.4008,-11.9943,C
DESI-351.4290-12.2431,351.429,-12.2431,C
DESI-351.4915-11.6013,351.4915,-11.6013,C
DESI-351.5372-11.3464,351.5372,-11.3464,C
