,Index,Image,Name,Tractor Type,Score,Score Diff,Probability,Spec,Photo-z,ResNet Model,Ref,g mag,r mag,z mag,Region
418,419,,DESI-000.4022-04.0111,REX,2.5,1,0.17,0.7237,,shielded,,21.58,20.51,19.26,DECaLS
419,420,,DESI-000.6943+27.0894,REX,2.5,1,0.39,0.5841,,L18,,21.85,21.08,19.77,DECaLS
420,421,,DESI-001.1051-60.0972,REX,2.5,1,0.56,,0.752+/-0.072,shielded,,21.96,20.98,19.84,DECaLS
421,422,,DESI-001.2742-54.2626,REX,2,0,0.36,,0.534+/-0.047,shielded,,21.05,19.2,18.0,DECaLS
422,423,,DESI-001.4446+15.8147,DC,2.5,1,0.41,0.2141,,L18,,18.88,17.5,16.67,DECaLS
423,424,,DESI-001.6798+05.0237,DC,2.5,1,0.9,0.4323,,shielded,,20.22,18.57,17.56,DECaLS
424,425,,DESI-001.7036-11.2181,DC,2.5,1,0.11,0.2862,,L18,,20.78,19.15,18.25,DECaLS
425,426,,DESI-001.8280+01.5349,REX,2.5,1,0.88,0.3217,,shielded,,20.46,19.32,18.64,DECaLS
426,427,,DESI-002.0769-06.3760,REX,2,0,0.17,0.589,,shielded,,21.75,20.64,19.45,DECaLS
427,428,,DESI-002.2652-52.4195,REX,2.5,1,0.78,,0.275+/-0.037,shielded,,20.94,19.79,18.79,DECaLS
428,429,,DESI-002.4643-34.6088,REX,2,0,0.17,,0.775+/-0.033,shielded,,21.35,20.53,19.47,DECaLS
429,430,,DESI-002.5204-35.7296,REX,2,2,0.17,,0.567+/-0.086,shielded,,20.65,19.71,18.86,DECaLS
430,431,,DESI-002.5452-60.5666,REX,2,2,0.19,,0.774+/-0.051,shielded,,21.8,20.81,19.58,DECaLS
431,432,,DESI-002.7167+18.5282,DC,2.5,1,0.79,,0.604+/-0.072,L18,,22.05,20.58,19.41,DECaLS
432,433,,DESI-002.9359+01.0175,REX,2,2,0.15,0.7402,,L18,,21.31,20.44,19.27,DECaLS
433,434,,DESI-003.0228-44.3054,REX,2,2,0.62,,0.853+/-0.057,shielded,,21.85,20.93,19.46,DECaLS
434,435,,DESI-003.2647-32.9648,REX,2.5,1,0.5,,0.482+/-0.086,shielded,,20.7,19.07,18.07,DECaLS
435,436,,DESI-003.8795+24.4528,DC,2.5,1,0.94,0.597,,shielded,,21.15,19.33,18.0,DECaLS
436,437,,DESI-003.9009-29.8221,DC,2.5,1,0.99,,0.873+/-0.050,shielded,,21.97,20.53,18.74,DECaLS
437,438,,DESI-004.0093-13.4169,DC,2.5,1,0.95,0.4246,,shielded,,21.23,19.39,18.31,DECaLS
438,439,,DESI-004.2156-05.8182,DC,2.5,1,0.97,0.3293,,shielded,,22.1,20.41,19.21,DECaLS
439,440,,DESI-004.7352-31.8716,REX,2.5,1,0.13,,0.288+/-0.023,shielded,,19.65,18.64,18.0,DECaLS
440,441,,DESI-004.8732-31.1123,REX,2.5,1,0.15,,0.323+/-0.027,shielded,,22.01,20.44,19.64,DECaLS
441,442,,DESI-005.2856-39.3724,REX,2.5,1,0.3,,0.342+/-0.030,shielded,,19.71,18.09,17.21,DECaLS
442,443,,DESI-005.5523-04.4710,REX,2,2,0.12,0.6013,,shielded,,21.36,20.17,19.03,DECaLS
443,444,,DESI-006.0703+01.4212,DC,2,0,0.48,0.4951,,L18,,20.97,19.28,18.19,DECaLS
444,445,,DESI-006.0848-64.9549,REX,2,2,0.12,,0.860+/-0.083,shielded,,21.54,20.79,19.48,DECaLS
445,446,,DESI-006.1955-57.9429,REX,2,2,0.14,,0.751+/-0.065,shielded,,21.58,20.75,19.8,DECaLS
446,447,,DESI-006.2199-01.8426,REX,2.5,1,0.21,0.6907,,L18,,22.03,21.06,19.84,DECaLS
447,448,,DESI-006.3643+10.1853,DC,2.5,1,0.14,0.4579,,L18,,20.34,18.58,17.49,DECaLS
448,449,,DESI-006.4166-27.4448,REX,2.5,1,0.68,,0.821+/-0.051,shielded,,21.79,20.95,19.69,DECaLS
449,450,,DESI-006.4448+03.6455,DC,2,2,0.25,0.4092,,L18,,21.1,19.39,18.45,DECaLS
450,451,,DESI-006.5376-05.1005,DC,2,0,0.18,0.3694,,L18,,20.65,18.9,17.96,DECaLS
451,452,,DESI-006.5454-60.8859,REX,2,0,0.17,,0.470+/-0.034,shielded,,20.94,19.64,18.81,DECaLS
452,453,,DESI-006.6039+04.3071,REX,2,2,0.22,0.7094,,shielded,,21.47,20.38,19.18,DECaLS
453,454,,DESI-006.9518-03.8141,DC,2,0,0.14,0.5883,,L18,,23.69,21.85,19.85,DECaLS
454,455,,DESI-007.0770-27.5692,DC,2.5,1,0.22,,0.881+/-0.074,L18,,23.36,21.7,19.84,DECaLS
455,456,,DESI-007.0848-52.1662,REX,2,0,0.25,,0.870+/-0.072,shielded,,21.78,21.05,19.78,DECaLS
456,457,,DESI-007.3282-25.6413,REX,2,2,0.16,,0.630+/-0.092,shielded,,21.29,20.19,19.21,DECaLS
457,458,,DESI-007.4408-02.3542,DC,2.5,1,0.99,0.6435,,L18,,21.34,19.91,18.63,DECaLS
458,459,,DESI-007.6167-07.3598,REX,2.5,1,0.99,0.6851,,shielded,,22.21,20.92,19.51,DECaLS
459,460,,DESI-007.7075-31.8051,DC,2.5,1,0.22,,0.221+/-0.006,L18,,18.05,16.72,15.97,DECaLS
460,461,,DESI-007.7552-24.4012,DC,2.5,1,0.99,,0.623+/-0.013,L18,,21.59,19.72,18.25,DECaLS
461,462,,DESI-007.9602-00.6805,DC,2,0,0.58,0.4808,,L18,e,21.47,19.63,18.58,DECaLS
462,463,,DESI-008.0561+11.4205,DC,2.5,1,0.69,0.3835,,L18,,22.28,20.41,19.38,DECaLS
463,464,,DESI-008.6662-13.6007,DC,2.5,1,0.67,,0.714+/-0.040,L18,,23.2,21.27,19.63,DECaLS
464,465,,DESI-008.8590-20.2624,REX,2.5,1,0.73,0.3017,,shielded,,22.45,20.8,19.93,DECaLS
465,466,,DESI-008.9856-31.0498,REX,2.5,1,0.15,,0.416+/-0.053,shielded,,22.38,20.68,19.72,DECaLS
466,467,,DESI-009.4655-11.1778,DC,2.5,1,1.0,0.6034,,L18,,20.8,19.77,18.64,DECaLS
467,468,,DESI-009.4901-61.7741,REX,2,0,0.13,,0.366+/-0.095,L18,,21.14,19.98,19.21,DECaLS
